Amt of Given Credit_scaled,Sex_scaled,Education_scaled,Marriage_scaled,Age_scaled,Payment Status (Apr)_scaled,Payment Status (May)_scaled,Payment Status (Jun)_scaled,Payment Status (Jul)_scaled,Payment Status (Aug)_scaled,Payment Status (Sep)_scaled,Amt of Bill (Sep)_scaled,Amt of Bill (Aug)_scaled,Amt of Bill (Jul)_scaled,Amt of Bill (Jun)_scaled,Amt of Bill (May)_scaled,Amt of Bill (Apr)_scaled,Amt Paid (Sep)_scaled,Amt Paid (Aug)_scaled,Amt Paid (Jul)_scaled,Amt Paid (Jun)_scaled,Amt Paid (May)_scaled,Amt Paid (Apr)_scaled,Default Payment Next Month
0.34246575342465757,1.0,0.0,0.6666666666666666,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.028284003678609636,0.0776288499299442,0.13417411171038576,0.025311863764293965,0.05152326749246736,0.40731615078276145,0.1165454098693418,0.03289532316040679,0.020553751544584612,0.1151245147435368,0.0,0.010541771770641166,0
0.15068493150684933,1.0,0.3333333333333333,0.3333333333333333,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.007903209569844956,0.04188281850276457,0.1160582036903888,0.007954283757813152,0.008877685657456823,0.3919214955598549,0.0016879800861083513,0.0010430385429147646,0.0,0.0032625753696208805,0.0010411449959144945,0.0,1
0.054794520547945216,1.0,0.6666666666666667,0.3333333333333333,0.5098039215686274,0.0,0.0,0.0,0.0,0.0,0.0,0.008473086943836366,0.04707046256911419,0.12187782181080233,0.012111787950982209,0.06755942417140944,0.39185346944705146,0.018241936690063354,0.01129188245351712,0.004894776669827677,0.1570888742050054,0.0008467539998418515,0.0,0
0.30136986301369867,1.0,0.0,0.6666666666666666,0.11764705882352944,0.0,0.0,0.0,0.0,0.0,0.0,0.03576577698685016,0.07025499639258698,0.14036918906437434,0.03921504690439167,0.035808109651627645,0.4341288160919805,0.09225131673130134,0.04383732559636389,0.03673237736716572,0.07385706616007269,0.12286828856849154,0.0,0
0.5068493150684932,0.0,0.3333333333333333,0.6666666666666666,0.21568627450980393,0.0,0.0,0.0,0.0,0.0,0.0,0.04558507126026504,0.0774112333669802,0.1438759783059655,0.07320671966805183,0.030967525945764983,0.4052465427745891,0.1150604147302971,0.049966827413429456,0.05909413105740586,0.061178450483191545,0.03912530641292601,0.023895648043835236,0
0.26027397260273977,1.0,0.0,0.6666666666666666,0.2549019607843137,0.0,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.010071814786441013,0.04319186582767112,0.11693302370461871,0.010330582723124485,0.00901159928316824,0.39318747304897644,0.0,0.0,0.0016762933800779714,0.0,0.003953715174358839,0.0,0
0.054794520547945216,0.0,0.0,0.6666666666666666,0.1568627450980392,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.04999735535949196,0.08203140039606215,0.16538416050131316,0.060666953344243386,0.06211819846787058,0.42414511929935406,0.0,0.008912038183132482,0.0,0.011486123730073511,0.003953715174358839,0.0,1
0.27397260273972607,1.0,0.0,0.6666666666666666,0.17647058823529416,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.007875910054923212,0.04185603492578439,0.11764076435990771,0.01260090609135504,0.008223872073101086,0.39645733840339253,0.0016025127399762829,0.003825574908981684,0.005459927009396822,0.0015486908400099118,0.01400274124252089,0.0026325468515145107,0
0.09589041095890412,0.0,0.0,0.6666666666666666,0.196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.008694895502575538,0.04135384285740591,0.11619712360681157,0.008749100735919002,0.008401110695366195,0.3920068164470999,0.0,0.0012872944042302476,0.0009339348831862984,0.0020132980920128853,0.0012849574316666228,0.0011294755468544107,0
0.4246575342465754,0.0,0.3333333333333333,0.6666666666666666,0.1568627450980392,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.10678034639671997,0.1405300804679091,0.2284481706687492,0.12742546552838008,0.1303353748596861,0.4648016750565539,0.01335427283313569,0.008251887206604152,0.0,0.02477905344015859,0.007907430348717678,0.004633745833248864,1
0.26027397260273977,1.0,0.3333333333333333,0.3333333333333333,0.21568627450980393,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.022849693989499924,0.05104112785642664,0.11418090752251348,0.018647629101714157,0.01521101242639674,0.39519020792930815,0.031078063737273377,4.951132323962491e-05,0.021796603350670993,8.775914760056167e-05,0.010427923772371438,0.004040047148363853,0
0.452054794520548,0.0,0.0,0.6666666666666666,0.21568627450980393,0.0,0.0,0.0,0.0,0.0,0.0,0.012564601742732783,0.05064439612240765,0.15927543877104683,0.016699308509229047,0.16547982433683217,0.4213272240503439,0.030517184278281678,0.07741260426259486,0.01033075663093767,0.41583381514826134,0.0854957958828646,0.005838519749893569,0
0.3972602739726028,1.0,0.0,0.3333333333333333,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.00786055407777973,0.04184096916373303,0.11601127128619192,0.008547339503015209,0.008206148210874575,0.3918926709357856,0.0015544373577769943,0.0009605196708487231,0.0006968591051466996,0.0015022301148096143,0.0009587759297820186,0.0008427625234221372,0
0.26027397260273977,0.0,0.0,0.3333333333333333,0.627450980392157,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24312947989305414,0.27700579697044264,0.38290459017686007,0.30162489122216357,0.2973670218003506,0.5639641467795977,0.033652767539501936,0.018154151854529132,0.01317087655775549,0.028392665400181715,0.016473813226495163,0.0144804557289027,1
0.09589041095890412,1.0,0.3333333333333333,0.3333333333333333,0.2941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.01778563397151637,0.046143081216175275,0.12161687764346767,0.014718380040719084,0.009897792394493787,0.39288308501880514,0.015282629830240483,0.010823175260182004,0.007948025326398267,0.005936648220037995,0.0037889770420938876,0.002997454335882859,0
0.4657534246575343,0.0,0.0,0.6666666666666666,0.6078431372549019,0.0,0.0,0.0,0.0,0.0,0.0,0.008580578783840734,0.045157110788592206,0.11682038593454619,0.009721223039910002,0.009897792394493787,0.39762531217067865,0.012136363150753716,0.002383145025267279,0.002076209086468002,0.005936648220037995,0.017340335802208808,0.014512312731506286,0
0.36986301369863017,0.0,0.3333333333333333,0.3333333333333333,0.3921568627450981,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.23885198714875336,0.2732527482460942,0.3685489063811174,0.30224240287438425,0.3073120778274484,0.5638304005239163,0.034721109366152796,0.0,0.03413412262804486,0.07666019658049063,0.0,0.0144804557289027,0
